"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"Texas","1 wk ahead","Bin","percent","2.0","2.1",0
"Texas","1 wk ahead","Bin","percent","2.1","2.2",0
"Texas","1 wk ahead","Bin","percent","2.2","2.3",0
"Texas","1 wk ahead","Bin","percent","2.3","2.4",0
"Texas","1 wk ahead","Bin","percent","2.4","2.5",0
"Texas","1 wk ahead","Bin","percent","2.5","2.6",0
"Texas","1 wk ahead","Bin","percent","2.6","2.7",0
"Texas","1 wk ahead","Bin","percent","2.7","2.8",0
"Texas","1 wk ahead","Bin","percent","2.8","2.9",0
"Texas","1 wk ahead","Bin","percent","2.9","3.0",0
"Texas","1 wk ahead","Bin","percent","3.0","3.1",0
"Texas","1 wk ahead","Bin","percent","3.1","3.2",0
"Texas","1 wk ahead","Bin","percent","3.2","3.3",0
"Texas","1 wk ahead","Bin","percent","3.3","3.4",0
"Texas","1 wk ahead","Bin","percent","3.4","3.5",0
"Texas","1 wk ahead","Bin","percent","3.5","3.6",0
"Texas","1 wk ahead","Bin","percent","3.6","3.7",0
"Texas","1 wk ahead","Bin","percent","3.7","3.8",0
"Texas","1 wk ahead","Bin","percent","3.8","3.9",0
"Texas","1 wk ahead","Bin","percent","3.9","4.0",0
"Texas","1 wk ahead","Bin","percent","4.0","4.1",0
"Texas","1 wk ahead","Bin","percent","4.1","4.2",0
"Texas","1 wk ahead","Bin","percent","4.2","4.3",0
"Texas","1 wk ahead","Bin","percent","4.3","4.4",0
"Texas","1 wk ahead","Bin","percent","4.4","4.5",0
"Texas","1 wk ahead","Bin","percent","4.5","4.6",0
"Texas","1 wk ahead","Bin","percent","4.6","4.7",0
"Texas","1 wk ahead","Bin","percent","4.7","4.8",0
"Texas","1 wk ahead","Bin","percent","4.8","4.9",0
"Texas","1 wk ahead","Bin","percent","4.9","5.0",0
"Texas","1 wk ahead","Bin","percent","5.0","5.1",0
"Texas","1 wk ahead","Bin","percent","5.1","5.2",0
"Texas","1 wk ahead","Bin","percent","5.2","5.3",0
"Texas","1 wk ahead","Bin","percent","5.3","5.4",0
"Texas","1 wk ahead","Bin","percent","5.4","5.5",0
"Texas","1 wk ahead","Bin","percent","5.5","5.6",0
"Texas","1 wk ahead","Bin","percent","5.6","5.7",0
"Texas","1 wk ahead","Bin","percent","5.7","5.8",0
"Texas","1 wk ahead","Bin","percent","5.8","5.9",0
"Texas","1 wk ahead","Bin","percent","5.9","6.0",0
"Texas","1 wk ahead","Bin","percent","6.0","6.1",0
"Texas","1 wk ahead","Bin","percent","6.1","6.2",0
"Texas","1 wk ahead","Bin","percent","6.2","6.3",0
"Texas","1 wk ahead","Bin","percent","6.3","6.4",0
"Texas","1 wk ahead","Bin","percent","6.4","6.5",0
"Texas","1 wk ahead","Bin","percent","6.5","6.6",0
"Texas","1 wk ahead","Bin","percent","6.6","6.7",0
"Texas","1 wk ahead","Bin","percent","6.7","6.8",0
"Texas","1 wk ahead","Bin","percent","6.8","6.9",0
"Texas","1 wk ahead","Bin","percent","6.9","7.0",0
"Texas","1 wk ahead","Bin","percent","7.0","7.1",0
"Texas","1 wk ahead","Bin","percent","7.1","7.2",0
"Texas","1 wk ahead","Bin","percent","7.2","7.3",0
"Texas","1 wk ahead","Bin","percent","7.3","7.4",0
"Texas","1 wk ahead","Bin","percent","7.4","7.5",0
"Texas","1 wk ahead","Bin","percent","7.5","7.6",0
"Texas","1 wk ahead","Bin","percent","7.6","7.7",0
"Texas","1 wk ahead","Bin","percent","7.7","7.8",0
"Texas","1 wk ahead","Bin","percent","7.8","7.9",0
"Texas","1 wk ahead","Bin","percent","7.9","8.0",0
"Texas","1 wk ahead","Bin","percent","8.0","8.1",0
"Texas","1 wk ahead","Bin","percent","8.1","8.2",0
"Texas","1 wk ahead","Bin","percent","8.2","8.3",0
"Texas","1 wk ahead","Bin","percent","8.3","8.4",0
"Texas","1 wk ahead","Bin","percent","8.4","8.5",0
"Texas","1 wk ahead","Bin","percent","8.5","8.6",0
"Texas","1 wk ahead","Bin","percent","8.6","8.7",0
"Texas","1 wk ahead","Bin","percent","8.7","8.8",0
"Texas","1 wk ahead","Bin","percent","8.8","8.9",0
"Texas","1 wk ahead","Bin","percent","8.9","9.0",0
"Texas","1 wk ahead","Bin","percent","9.0","9.1",0
"Texas","1 wk ahead","Bin","percent","9.1","9.2",0
"Texas","1 wk ahead","Bin","percent","9.2","9.3",0
"Texas","1 wk ahead","Bin","percent","9.3","9.4",1e-04
"Texas","1 wk ahead","Bin","percent","9.4","9.5",0.0939
"Texas","1 wk ahead","Bin","percent","9.5","9.6",3e-04
"Texas","1 wk ahead","Bin","percent","9.6","9.7",0
"Texas","1 wk ahead","Bin","percent","9.7","9.8",9e-04
"Texas","1 wk ahead","Bin","percent","9.8","9.9",0.0132
"Texas","1 wk ahead","Bin","percent","9.9","10.0",0.0961
"Texas","1 wk ahead","Bin","percent","10.0","10.1",0.0992
"Texas","1 wk ahead","Bin","percent","10.1","10.2",0.1723
"Texas","1 wk ahead","Bin","percent","10.2","10.3",0.1101
"Texas","1 wk ahead","Bin","percent","10.3","10.4",0.2746
"Texas","1 wk ahead","Bin","percent","10.4","10.5",0.0221
"Texas","1 wk ahead","Bin","percent","10.5","10.6",0.0044
"Texas","1 wk ahead","Bin","percent","10.6","10.7",0.0012
"Texas","1 wk ahead","Bin","percent","10.7","10.8",0.0271
"Texas","1 wk ahead","Bin","percent","10.8","10.9",0.0356
"Texas","1 wk ahead","Bin","percent","10.9","11.0",0.0483
"Texas","1 wk ahead","Bin","percent","11.0","11.1",6e-04
"Texas","1 wk ahead","Bin","percent","11.1","11.2",0
"Texas","1 wk ahead","Bin","percent","11.2","11.3",0
"Texas","1 wk ahead","Bin","percent","11.3","11.4",0
"Texas","1 wk ahead","Bin","percent","11.4","11.5",0
"Texas","1 wk ahead","Bin","percent","11.5","11.6",0
"Texas","1 wk ahead","Bin","percent","11.6","11.7",0
"Texas","1 wk ahead","Bin","percent","11.7","11.8",0
"Texas","1 wk ahead","Bin","percent","11.8","11.9",0
"Texas","1 wk ahead","Bin","percent","11.9","12.0",0
"Texas","1 wk ahead","Bin","percent","12.0","12.1",0
"Texas","1 wk ahead","Bin","percent","12.1","12.2",0
"Texas","1 wk ahead","Bin","percent","12.2","12.3",0
"Texas","1 wk ahead","Bin","percent","12.3","12.4",0
"Texas","1 wk ahead","Bin","percent","12.4","12.5",0
"Texas","1 wk ahead","Bin","percent","12.5","12.6",0
"Texas","1 wk ahead","Bin","percent","12.6","12.7",0
"Texas","1 wk ahead","Bin","percent","12.7","12.8",0
"Texas","1 wk ahead","Bin","percent","12.8","12.9",0
"Texas","1 wk ahead","Bin","percent","12.9","13.0",0
"Texas","1 wk ahead","Bin","percent","13.0","100.0",0
"Texas","2 wk ahead","Point","percent",NA,NA,10.1
"Texas","2 wk ahead","Bin","percent","0.0","0.1",0
"Texas","2 wk ahead","Bin","percent","0.1","0.2",0
"Texas","2 wk ahead","Bin","percent","0.2","0.3",0
"Texas","2 wk ahead","Bin","percent","0.3","0.4",0
"Texas","2 wk ahead","Bin","percent","0.4","0.5",0
"Texas","2 wk ahead","Bin","percent","0.5","0.6",0
"Texas","2 wk ahead","Bin","percent","0.6","0.7",0
"Texas","2 wk ahead","Bin","percent","0.7","0.8",0
"Texas","2 wk ahead","Bin","percent","0.8","0.9",0
"Texas","2 wk ahead","Bin","percent","0.9","1.0",0
"Texas","2 wk ahead","Bin","percent","1.0","1.1",0
"Texas","2 wk ahead","Bin","percent","1.1","1.2",0
"Texas","2 wk ahead","Bin","percent","1.2","1.3",0
"Texas","2 wk ahead","Bin","percent","1.3","1.4",0
"Texas","2 wk ahead","Bin","percent","1.4","1.5",0
"Texas","2 wk ahead","Bin","percent","1.5","1.6",0
"Texas","2 wk ahead","Bin","percent","1.6","1.7",0
"Texas","2 wk ahead","Bin","percent","1.7","1.8",0
"Texas","2 wk ahead","Bin","percent","1.8","1.9",0
"Texas","2 wk ahead","Bin","percent","1.9","2.0",0
"Texas","2 wk ahead","Bin","percent","2.0","2.1",0
"Texas","2 wk ahead","Bin","percent","2.1","2.2",0
"Texas","2 wk ahead","Bin","percent","2.2","2.3",0
"Texas","2 wk ahead","Bin","percent","2.3","2.4",0
"Texas","2 wk ahead","Bin","percent","2.4","2.5",0
"Texas","2 wk ahead","Bin","percent","2.5","2.6",0
"Texas","2 wk ahead","Bin","percent","2.6","2.7",0
"Texas","2 wk ahead","Bin","percent","2.7","2.8",0
"Texas","2 wk ahead","Bin","percent","2.8","2.9",0
"Texas","2 wk ahead","Bin","percent","2.9","3.0",0
"Texas","2 wk ahead","Bin","percent","3.0","3.1",0
"Texas","2 wk ahead","Bin","percent","3.1","3.2",0
"Texas","2 wk ahead","Bin","percent","3.2","3.3",0
"Texas","2 wk ahead","Bin","percent","3.3","3.4",0
"Texas","2 wk ahead","Bin","percent","3.4","3.5",0
"Texas","2 wk ahead","Bin","percent","3.5","3.6",0
"Texas","2 wk ahead","Bin","percent","3.6","3.7",0
"Texas","2 wk ahead","Bin","percent","3.7","3.8",0
"Texas","2 wk ahead","Bin","percent","3.8","3.9",0
"Texas","2 wk ahead","Bin","percent","3.9","4.0",0
"Texas","2 wk ahead","Bin","percent","4.0","4.1",0
"Texas","2 wk ahead","Bin","percent","4.1","4.2",0
"Texas","2 wk ahead","Bin","percent","4.2","4.3",0
"Texas","2 wk ahead","Bin","percent","4.3","4.4",0
"Texas","2 wk ahead","Bin","percent","4.4","4.5",0
"Texas","2 wk ahead","Bin","percent","4.5","4.6",0
"Texas","2 wk ahead","Bin","percent","4.6","4.7",0
"Texas","2 wk ahead","Bin","percent","4.7","4.8",0
"Texas","2 wk ahead","Bin","percent","4.8","4.9",0
"Texas","2 wk ahead","Bin","percent","4.9","5.0",0
"Texas","2 wk ahead","Bin","percent","5.0","5.1",0
"Texas","2 wk ahead","Bin","percent","5.1","5.2",0
"Texas","2 wk ahead","Bin","percent","5.2","5.3",0
"Texas","2 wk ahead","Bin","percent","5.3","5.4",0
"Texas","2 wk ahead","Bin","percent","5.4","5.5",0
"Texas","2 wk ahead","Bin","percent","5.5","5.6",0
"Texas","2 wk ahead","Bin","percent","5.6","5.7",0
"Texas","2 wk ahead","Bin","percent","5.7","5.8",0
"Texas","2 wk ahead","Bin","percent","5.8","5.9",0
"Texas","2 wk ahead","Bin","percent","5.9","6.0",0
"Texas","2 wk ahead","Bin","percent","6.0","6.1",0
"Texas","2 wk ahead","Bin","percent","6.1","6.2",0
"Texas","2 wk ahead","Bin","percent","6.2","6.3",0
"Texas","2 wk ahead","Bin","percent","6.3","6.4",0
"Texas","2 wk ahead","Bin","percent","6.4","6.5",0
"Texas","2 wk ahead","Bin","percent","6.5","6.6",0
"Texas","2 wk ahead","Bin","percent","6.6","6.7",0
"Texas","2 wk ahead","Bin","percent","6.7","6.8",0
"Texas","2 wk ahead","Bin","percent","6.8","6.9",0
"Texas","2 wk ahead","Bin","percent","6.9","7.0",0
"Texas","2 wk ahead","Bin","percent","7.0","7.1",0
"Texas","2 wk ahead","Bin","percent","7.1","7.2",0
"Texas","2 wk ahead","Bin","percent","7.2","7.3",0
"Texas","2 wk ahead","Bin","percent","7.3","7.4",0
"Texas","2 wk ahead","Bin","percent","7.4","7.5",0
"Texas","2 wk ahead","Bin","percent","7.5","7.6",0
"Texas","2 wk ahead","Bin","percent","7.6","7.7",0
"Texas","2 wk ahead","Bin","percent","7.7","7.8",0
"Texas","2 wk ahead","Bin","percent","7.8","7.9",0
"Texas","2 wk ahead","Bin","percent","7.9","8.0",2e-04
"Texas","2 wk ahead","Bin","percent","8.0","8.1",0
"Texas","2 wk ahead","Bin","percent","8.1","8.2",0
"Texas","2 wk ahead","Bin","percent","8.2","8.3",0
"Texas","2 wk ahead","Bin","percent","8.3","8.4",0
"Texas","2 wk ahead","Bin","percent","8.4","8.5",1e-04
"Texas","2 wk ahead","Bin","percent","8.5","8.6",0
"Texas","2 wk ahead","Bin","percent","8.6","8.7",8e-04
"Texas","2 wk ahead","Bin","percent","8.7","8.8",0.0023
"Texas","2 wk ahead","Bin","percent","8.8","8.9",0
"Texas","2 wk ahead","Bin","percent","8.9","9.0",0.0543
"Texas","2 wk ahead","Bin","percent","9.0","9.1",0.0012
"Texas","2 wk ahead","Bin","percent","9.1","9.2",0
"Texas","2 wk ahead","Bin","percent","9.2","9.3",0.0383
"Texas","2 wk ahead","Bin","percent","9.3","9.4",0.02
"Texas","2 wk ahead","Bin","percent","9.4","9.5",0.0298
"Texas","2 wk ahead","Bin","percent","9.5","9.6",0.0559
"Texas","2 wk ahead","Bin","percent","9.6","9.7",0.1766
"Texas","2 wk ahead","Bin","percent","9.7","9.8",0.0095
"Texas","2 wk ahead","Bin","percent","9.8","9.9",0.0025
"Texas","2 wk ahead","Bin","percent","9.9","10.0",0.0054
"Texas","2 wk ahead","Bin","percent","10.0","10.1",0.0632
"Texas","2 wk ahead","Bin","percent","10.1","10.2",0.099
"Texas","2 wk ahead","Bin","percent","10.2","10.3",0.0017
"Texas","2 wk ahead","Bin","percent","10.3","10.4",0.0436
"Texas","2 wk ahead","Bin","percent","10.4","10.5",0.0896
"Texas","2 wk ahead","Bin","percent","10.5","10.6",0.0976
"Texas","2 wk ahead","Bin","percent","10.6","10.7",0
"Texas","2 wk ahead","Bin","percent","10.7","10.8",0.0013
"Texas","2 wk ahead","Bin","percent","10.8","10.9",0.0383
"Texas","2 wk ahead","Bin","percent","10.9","11.0",0.0478
"Texas","2 wk ahead","Bin","percent","11.0","11.1",0.002
"Texas","2 wk ahead","Bin","percent","11.1","11.2",0
"Texas","2 wk ahead","Bin","percent","11.2","11.3",0
"Texas","2 wk ahead","Bin","percent","11.3","11.4",0
"Texas","2 wk ahead","Bin","percent","11.4","11.5",0
"Texas","2 wk ahead","Bin","percent","11.5","11.6",0
"Texas","2 wk ahead","Bin","percent","11.6","11.7",0
"Texas","2 wk ahead","Bin","percent","11.7","11.8",0.0012
"Texas","2 wk ahead","Bin","percent","11.8","11.9",0.0507
"Texas","2 wk ahead","Bin","percent","11.9","12.0",0.0662
"Texas","2 wk ahead","Bin","percent","12.0","12.1",7e-04
"Texas","2 wk ahead","Bin","percent","12.1","12.2",1e-04
"Texas","2 wk ahead","Bin","percent","12.2","12.3",0
"Texas","2 wk ahead","Bin","percent","12.3","12.4",0
"Texas","2 wk ahead","Bin","percent","12.4","12.5",0
"Texas","2 wk ahead","Bin","percent","12.5","12.6",0
"Texas","2 wk ahead","Bin","percent","12.6","12.7",0
"Texas","2 wk ahead","Bin","percent","12.7","12.8",0
"Texas","2 wk ahead","Bin","percent","12.8","12.9",1e-04
"Texas","2 wk ahead","Bin","percent","12.9","13.0",0
"Texas","2 wk ahead","Bin","percent","13.0","100.0",0
"Texas","3 wk ahead","Point","percent",NA,NA,9.9
"Texas","3 wk ahead","Bin","percent","0.0","0.1",0
"Texas","3 wk ahead","Bin","percent","0.1","0.2",0
"Texas","3 wk ahead","Bin","percent","0.2","0.3",0
"Texas","3 wk ahead","Bin","percent","0.3","0.4",0
"Texas","3 wk ahead","Bin","percent","0.4","0.5",0
"Texas","3 wk ahead","Bin","percent","0.5","0.6",0
"Texas","3 wk ahead","Bin","percent","0.6","0.7",0
"Texas","3 wk ahead","Bin","percent","0.7","0.8",0
"Texas","3 wk ahead","Bin","percent","0.8","0.9",0
"Texas","3 wk ahead","Bin","percent","0.9","1.0",0
"Texas","3 wk ahead","Bin","percent","1.0","1.1",0
"Texas","3 wk ahead","Bin","percent","1.1","1.2",0
"Texas","3 wk ahead","Bin","percent","1.2","1.3",0
"Texas","3 wk ahead","Bin","percent","1.3","1.4",0
"Texas","3 wk ahead","Bin","percent","1.4","1.5",0
"Texas","3 wk ahead","Bin","percent","1.5","1.6",0
"Texas","3 wk ahead","Bin","percent","1.6","1.7",0
"Texas","3 wk ahead","Bin","percent","1.7","1.8",0
"Texas","3 wk ahead","Bin","percent","1.8","1.9",0
"Texas","3 wk ahead","Bin","percent","1.9","2.0",0
"Texas","3 wk ahead","Bin","percent","2.0","2.1",0
"Texas","3 wk ahead","Bin","percent","2.1","2.2",0
"Texas","3 wk ahead","Bin","percent","2.2","2.3",0
"Texas","3 wk ahead","Bin","percent","2.3","2.4",0
"Texas","3 wk ahead","Bin","percent","2.4","2.5",0
"Texas","3 wk ahead","Bin","percent","2.5","2.6",0
"Texas","3 wk ahead","Bin","percent","2.6","2.7",0
"Texas","3 wk ahead","Bin","percent","2.7","2.8",0
"Texas","3 wk ahead","Bin","percent","2.8","2.9",0
"Texas","3 wk ahead","Bin","percent","2.9","3.0",0
"Texas","3 wk ahead","Bin","percent","3.0","3.1",0
"Texas","3 wk ahead","Bin","percent","3.1","3.2",0
"Texas","3 wk ahead","Bin","percent","3.2","3.3",0
"Texas","3 wk ahead","Bin","percent","3.3","3.4",0
"Texas","3 wk ahead","Bin","percent","3.4","3.5",0
"Texas","3 wk ahead","Bin","percent","3.5","3.6",0
"Texas","3 wk ahead","Bin","percent","3.6","3.7",0
"Texas","3 wk ahead","Bin","percent","3.7","3.8",0
"Texas","3 wk ahead","Bin","percent","3.8","3.9",0
"Texas","3 wk ahead","Bin","percent","3.9","4.0",0
"Texas","3 wk ahead","Bin","percent","4.0","4.1",0
"Texas","3 wk ahead","Bin","percent","4.1","4.2",0
"Texas","3 wk ahead","Bin","percent","4.2","4.3",0
"Texas","3 wk ahead","Bin","percent","4.3","4.4",0
"Texas","3 wk ahead","Bin","percent","4.4","4.5",0
"Texas","3 wk ahead","Bin","percent","4.5","4.6",0
"Texas","3 wk ahead","Bin","percent","4.6","4.7",0
"Texas","3 wk ahead","Bin","percent","4.7","4.8",0
"Texas","3 wk ahead","Bin","percent","4.8","4.9",0
"Texas","3 wk ahead","Bin","percent","4.9","5.0",0
"Texas","3 wk ahead","Bin","percent","5.0","5.1",0
"Texas","3 wk ahead","Bin","percent","5.1","5.2",0
"Texas","3 wk ahead","Bin","percent","5.2","5.3",0
"Texas","3 wk ahead","Bin","percent","5.3","5.4",0
"Texas","3 wk ahead","Bin","percent","5.4","5.5",0
"Texas","3 wk ahead","Bin","percent","5.5","5.6",0
"Texas","3 wk ahead","Bin","percent","5.6","5.7",0
"Texas","3 wk ahead","Bin","percent","5.7","5.8",0
"Texas","3 wk ahead","Bin","percent","5.8","5.9",0
"Texas","3 wk ahead","Bin","percent","5.9","6.0",0
"Texas","3 wk ahead","Bin","percent","6.0","6.1",0
"Texas","3 wk ahead","Bin","percent","6.1","6.2",0
"Texas","3 wk ahead","Bin","percent","6.2","6.3",0
"Texas","3 wk ahead","Bin","percent","6.3","6.4",0
"Texas","3 wk ahead","Bin","percent","6.4","6.5",0
"Texas","3 wk ahead","Bin","percent","6.5","6.6",0
"Texas","3 wk ahead","Bin","percent","6.6","6.7",0
"Texas","3 wk ahead","Bin","percent","6.7","6.8",0
"Texas","3 wk ahead","Bin","percent","6.8","6.9",0
"Texas","3 wk ahead","Bin","percent","6.9","7.0",3e-04
"Texas","3 wk ahead","Bin","percent","7.0","7.1",0
"Texas","3 wk ahead","Bin","percent","7.1","7.2",0
"Texas","3 wk ahead","Bin","percent","7.2","7.3",0
"Texas","3 wk ahead","Bin","percent","7.3","7.4",0
"Texas","3 wk ahead","Bin","percent","7.4","7.5",0
"Texas","3 wk ahead","Bin","percent","7.5","7.6",0
"Texas","3 wk ahead","Bin","percent","7.6","7.7",1e-04
"Texas","3 wk ahead","Bin","percent","7.7","7.8",0
"Texas","3 wk ahead","Bin","percent","7.8","7.9",0
"Texas","3 wk ahead","Bin","percent","7.9","8.0",0.0012
"Texas","3 wk ahead","Bin","percent","8.0","8.1",0.0018
"Texas","3 wk ahead","Bin","percent","8.1","8.2",0
"Texas","3 wk ahead","Bin","percent","8.2","8.3",0
"Texas","3 wk ahead","Bin","percent","8.3","8.4",0.0506
"Texas","3 wk ahead","Bin","percent","8.4","8.5",0.0013
"Texas","3 wk ahead","Bin","percent","8.5","8.6",0
"Texas","3 wk ahead","Bin","percent","8.6","8.7",2e-04
"Texas","3 wk ahead","Bin","percent","8.7","8.8",0.0321
"Texas","3 wk ahead","Bin","percent","8.8","8.9",1e-04
"Texas","3 wk ahead","Bin","percent","8.9","9.0",1e-04
"Texas","3 wk ahead","Bin","percent","9.0","9.1",5e-04
"Texas","3 wk ahead","Bin","percent","9.1","9.2",6e-04
"Texas","3 wk ahead","Bin","percent","9.2","9.3",0.0109
"Texas","3 wk ahead","Bin","percent","9.3","9.4",0.0178
"Texas","3 wk ahead","Bin","percent","9.4","9.5",0.0251
"Texas","3 wk ahead","Bin","percent","9.5","9.6",0.0394
"Texas","3 wk ahead","Bin","percent","9.6","9.7",0.003
"Texas","3 wk ahead","Bin","percent","9.7","9.8",0.0917
"Texas","3 wk ahead","Bin","percent","9.8","9.9",0.0666
"Texas","3 wk ahead","Bin","percent","9.9","10.0",0.1629
"Texas","3 wk ahead","Bin","percent","10.0","10.1",0.0094
"Texas","3 wk ahead","Bin","percent","10.1","10.2",0.0066
"Texas","3 wk ahead","Bin","percent","10.2","10.3",0.0368
"Texas","3 wk ahead","Bin","percent","10.3","10.4",0.115
"Texas","3 wk ahead","Bin","percent","10.4","10.5",0.0218
"Texas","3 wk ahead","Bin","percent","10.5","10.6",0.0018
"Texas","3 wk ahead","Bin","percent","10.6","10.7",0
"Texas","3 wk ahead","Bin","percent","10.7","10.8",0.0015
"Texas","3 wk ahead","Bin","percent","10.8","10.9",0.0795
"Texas","3 wk ahead","Bin","percent","10.9","11.0",0.0963
"Texas","3 wk ahead","Bin","percent","11.0","11.1",0.0035
"Texas","3 wk ahead","Bin","percent","11.1","11.2",0
"Texas","3 wk ahead","Bin","percent","11.2","11.3",0.0013
"Texas","3 wk ahead","Bin","percent","11.3","11.4",0
"Texas","3 wk ahead","Bin","percent","11.4","11.5",0.0394
"Texas","3 wk ahead","Bin","percent","11.5","11.6",0.0513
"Texas","3 wk ahead","Bin","percent","11.6","11.7",0.0055
"Texas","3 wk ahead","Bin","percent","11.7","11.8",0
"Texas","3 wk ahead","Bin","percent","11.8","11.9",0
"Texas","3 wk ahead","Bin","percent","11.9","12.0",0
"Texas","3 wk ahead","Bin","percent","12.0","12.1",0.0239
"Texas","3 wk ahead","Bin","percent","12.1","12.2",0
"Texas","3 wk ahead","Bin","percent","12.2","12.3",1e-04
"Texas","3 wk ahead","Bin","percent","12.3","12.4",0
"Texas","3 wk ahead","Bin","percent","12.4","12.5",0
"Texas","3 wk ahead","Bin","percent","12.5","12.6",0
"Texas","3 wk ahead","Bin","percent","12.6","12.7",0
"Texas","3 wk ahead","Bin","percent","12.7","12.8",0
"Texas","3 wk ahead","Bin","percent","12.8","12.9",0
"Texas","3 wk ahead","Bin","percent","12.9","13.0",0
"Texas","3 wk ahead","Bin","percent","13.0","100.0",0
"Texas","4 wk ahead","Point","percent",NA,NA,10.2
"Texas","4 wk ahead","Bin","percent","0.0","0.1",0
"Texas","4 wk ahead","Bin","percent","0.1","0.2",0
"Texas","4 wk ahead","Bin","percent","0.2","0.3",0
"Texas","4 wk ahead","Bin","percent","0.3","0.4",0
"Texas","4 wk ahead","Bin","percent","0.4","0.5",0
"Texas","4 wk ahead","Bin","percent","0.5","0.6",0
"Texas","4 wk ahead","Bin","percent","0.6","0.7",0
"Texas","4 wk ahead","Bin","percent","0.7","0.8",0
"Texas","4 wk ahead","Bin","percent","0.8","0.9",0
"Texas","4 wk ahead","Bin","percent","0.9","1.0",0
"Texas","4 wk ahead","Bin","percent","1.0","1.1",0
"Texas","4 wk ahead","Bin","percent","1.1","1.2",0
"Texas","4 wk ahead","Bin","percent","1.2","1.3",0
"Texas","4 wk ahead","Bin","percent","1.3","1.4",0
"Texas","4 wk ahead","Bin","percent","1.4","1.5",0
"Texas","4 wk ahead","Bin","percent","1.5","1.6",0
"Texas","4 wk ahead","Bin","percent","1.6","1.7",0
"Texas","4 wk ahead","Bin","percent","1.7","1.8",0
"Texas","4 wk ahead","Bin","percent","1.8","1.9",0
"Texas","4 wk ahead","Bin","percent","1.9","2.0",0
"Texas","4 wk ahead","Bin","percent","2.0","2.1",0
"Texas","4 wk ahead","Bin","percent","2.1","2.2",0
"Texas","4 wk ahead","Bin","percent","2.2","2.3",0
"Texas","4 wk ahead","Bin","percent","2.3","2.4",0
"Texas","4 wk ahead","Bin","percent","2.4","2.5",0
"Texas","4 wk ahead","Bin","percent","2.5","2.6",0
"Texas","4 wk ahead","Bin","percent","2.6","2.7",0
"Texas","4 wk ahead","Bin","percent","2.7","2.8",0
"Texas","4 wk ahead","Bin","percent","2.8","2.9",0
"Texas","4 wk ahead","Bin","percent","2.9","3.0",0
"Texas","4 wk ahead","Bin","percent","3.0","3.1",0
"Texas","4 wk ahead","Bin","percent","3.1","3.2",0
"Texas","4 wk ahead","Bin","percent","3.2","3.3",0
"Texas","4 wk ahead","Bin","percent","3.3","3.4",0
"Texas","4 wk ahead","Bin","percent","3.4","3.5",0
"Texas","4 wk ahead","Bin","percent","3.5","3.6",0
"Texas","4 wk ahead","Bin","percent","3.6","3.7",0
"Texas","4 wk ahead","Bin","percent","3.7","3.8",0
"Texas","4 wk ahead","Bin","percent","3.8","3.9",0
"Texas","4 wk ahead","Bin","percent","3.9","4.0",0
"Texas","4 wk ahead","Bin","percent","4.0","4.1",0
"Texas","4 wk ahead","Bin","percent","4.1","4.2",0
"Texas","4 wk ahead","Bin","percent","4.2","4.3",0
"Texas","4 wk ahead","Bin","percent","4.3","4.4",0
"Texas","4 wk ahead","Bin","percent","4.4","4.5",0
"Texas","4 wk ahead","Bin","percent","4.5","4.6",0
"Texas","4 wk ahead","Bin","percent","4.6","4.7",0
"Texas","4 wk ahead","Bin","percent","4.7","4.8",0
"Texas","4 wk ahead","Bin","percent","4.8","4.9",1e-04
"Texas","4 wk ahead","Bin","percent","4.9","5.0",0
"Texas","4 wk ahead","Bin","percent","5.0","5.1",0
"Texas","4 wk ahead","Bin","percent","5.1","5.2",6e-04
"Texas","4 wk ahead","Bin","percent","5.2","5.3",0
"Texas","4 wk ahead","Bin","percent","5.3","5.4",0.0026
"Texas","4 wk ahead","Bin","percent","5.4","5.5",0
"Texas","4 wk ahead","Bin","percent","5.5","5.6",0
"Texas","4 wk ahead","Bin","percent","5.6","5.7",0
"Texas","4 wk ahead","Bin","percent","5.7","5.8",0
"Texas","4 wk ahead","Bin","percent","5.8","5.9",0.0532
"Texas","4 wk ahead","Bin","percent","5.9","6.0",0
"Texas","4 wk ahead","Bin","percent","6.0","6.1",0.001
"Texas","4 wk ahead","Bin","percent","6.1","6.2",0
"Texas","4 wk ahead","Bin","percent","6.2","6.3",2e-04
"Texas","4 wk ahead","Bin","percent","6.3","6.4",0
"Texas","4 wk ahead","Bin","percent","6.4","6.5",0.0328
"Texas","4 wk ahead","Bin","percent","6.5","6.6",0
"Texas","4 wk ahead","Bin","percent","6.6","6.7",0
"Texas","4 wk ahead","Bin","percent","6.7","6.8",0
"Texas","4 wk ahead","Bin","percent","6.8","6.9",0
"Texas","4 wk ahead","Bin","percent","6.9","7.0",2e-04
"Texas","4 wk ahead","Bin","percent","7.0","7.1",5e-04
"Texas","4 wk ahead","Bin","percent","7.1","7.2",3e-04
"Texas","4 wk ahead","Bin","percent","7.2","7.3",0
"Texas","4 wk ahead","Bin","percent","7.3","7.4",0
"Texas","4 wk ahead","Bin","percent","7.4","7.5",0
"Texas","4 wk ahead","Bin","percent","7.5","7.6",0
"Texas","4 wk ahead","Bin","percent","7.6","7.7",0
"Texas","4 wk ahead","Bin","percent","7.7","7.8",0
"Texas","4 wk ahead","Bin","percent","7.8","7.9",0
"Texas","4 wk ahead","Bin","percent","7.9","8.0",0
