"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"Minnesota","3 wk ahead","Bin","percent","8.5","8.6",0.0013
"Minnesota","3 wk ahead","Bin","percent","8.6","8.7",4e-04
"Minnesota","3 wk ahead","Bin","percent","8.7","8.8",4e-04
"Minnesota","3 wk ahead","Bin","percent","8.8","8.9",7e-04
"Minnesota","3 wk ahead","Bin","percent","8.9","9.0",9e-04
"Minnesota","3 wk ahead","Bin","percent","9.0","9.1",2e-04
"Minnesota","3 wk ahead","Bin","percent","9.1","9.2",6e-04
"Minnesota","3 wk ahead","Bin","percent","9.2","9.3",0.0017
"Minnesota","3 wk ahead","Bin","percent","9.3","9.4",7e-04
"Minnesota","3 wk ahead","Bin","percent","9.4","9.5",5e-04
"Minnesota","3 wk ahead","Bin","percent","9.5","9.6",0.001
"Minnesota","3 wk ahead","Bin","percent","9.6","9.7",0.001
"Minnesota","3 wk ahead","Bin","percent","9.7","9.8",7e-04
"Minnesota","3 wk ahead","Bin","percent","9.8","9.9",0.0012
"Minnesota","3 wk ahead","Bin","percent","9.9","10.0",4e-04
"Minnesota","3 wk ahead","Bin","percent","10.0","10.1",8e-04
"Minnesota","3 wk ahead","Bin","percent","10.1","10.2",0.0012
"Minnesota","3 wk ahead","Bin","percent","10.2","10.3",9e-04
"Minnesota","3 wk ahead","Bin","percent","10.3","10.4",4e-04
"Minnesota","3 wk ahead","Bin","percent","10.4","10.5",6e-04
"Minnesota","3 wk ahead","Bin","percent","10.5","10.6",6e-04
"Minnesota","3 wk ahead","Bin","percent","10.6","10.7",5e-04
"Minnesota","3 wk ahead","Bin","percent","10.7","10.8",4e-04
"Minnesota","3 wk ahead","Bin","percent","10.8","10.9",0.001
"Minnesota","3 wk ahead","Bin","percent","10.9","11.0",8e-04
"Minnesota","3 wk ahead","Bin","percent","11.0","11.1",7e-04
"Minnesota","3 wk ahead","Bin","percent","11.1","11.2",0.0012
"Minnesota","3 wk ahead","Bin","percent","11.2","11.3",7e-04
"Minnesota","3 wk ahead","Bin","percent","11.3","11.4",8e-04
"Minnesota","3 wk ahead","Bin","percent","11.4","11.5",6e-04
"Minnesota","3 wk ahead","Bin","percent","11.5","11.6",7e-04
"Minnesota","3 wk ahead","Bin","percent","11.6","11.7",3e-04
"Minnesota","3 wk ahead","Bin","percent","11.7","11.8",6e-04
"Minnesota","3 wk ahead","Bin","percent","11.8","11.9",0.001
"Minnesota","3 wk ahead","Bin","percent","11.9","12.0",4e-04
"Minnesota","3 wk ahead","Bin","percent","12.0","12.1",9e-04
"Minnesota","3 wk ahead","Bin","percent","12.1","12.2",4e-04
"Minnesota","3 wk ahead","Bin","percent","12.2","12.3",6e-04
"Minnesota","3 wk ahead","Bin","percent","12.3","12.4",7e-04
"Minnesota","3 wk ahead","Bin","percent","12.4","12.5",6e-04
"Minnesota","3 wk ahead","Bin","percent","12.5","12.6",0
"Minnesota","3 wk ahead","Bin","percent","12.6","12.7",8e-04
"Minnesota","3 wk ahead","Bin","percent","12.7","12.8",9e-04
"Minnesota","3 wk ahead","Bin","percent","12.8","12.9",8e-04
"Minnesota","3 wk ahead","Bin","percent","12.9","13.0",6e-04
"Minnesota","3 wk ahead","Bin","percent","13.0","100.0",0.0038
"Minnesota","4 wk ahead","Point","percent",NA,NA,1
"Minnesota","4 wk ahead","Bin","percent","0.0","0.1",0
"Minnesota","4 wk ahead","Bin","percent","0.1","0.2",0.0014
"Minnesota","4 wk ahead","Bin","percent","0.2","0.3",8e-04
"Minnesota","4 wk ahead","Bin","percent","0.3","0.4",0.0086
"Minnesota","4 wk ahead","Bin","percent","0.4","0.5",0.0242
"Minnesota","4 wk ahead","Bin","percent","0.5","0.6",0.0503
"Minnesota","4 wk ahead","Bin","percent","0.6","0.7",0.0949
"Minnesota","4 wk ahead","Bin","percent","0.7","0.8",0.1077
"Minnesota","4 wk ahead","Bin","percent","0.8","0.9",0.0921
"Minnesota","4 wk ahead","Bin","percent","0.9","1.0",0.0926
"Minnesota","4 wk ahead","Bin","percent","1.0","1.1",0.0942
"Minnesota","4 wk ahead","Bin","percent","1.1","1.2",0.0694
"Minnesota","4 wk ahead","Bin","percent","1.2","1.3",0.0662
"Minnesota","4 wk ahead","Bin","percent","1.3","1.4",0.0429
"Minnesota","4 wk ahead","Bin","percent","1.4","1.5",0.048
"Minnesota","4 wk ahead","Bin","percent","1.5","1.6",0.0297
"Minnesota","4 wk ahead","Bin","percent","1.6","1.7",0.0148
"Minnesota","4 wk ahead","Bin","percent","1.7","1.8",0.0185
"Minnesota","4 wk ahead","Bin","percent","1.8","1.9",0.014
"Minnesota","4 wk ahead","Bin","percent","1.9","2.0",0.0064
"Minnesota","4 wk ahead","Bin","percent","2.0","2.1",0.0079
"Minnesota","4 wk ahead","Bin","percent","2.1","2.2",0.0089
"Minnesota","4 wk ahead","Bin","percent","2.2","2.3",0.0033
"Minnesota","4 wk ahead","Bin","percent","2.3","2.4",0.0063
"Minnesota","4 wk ahead","Bin","percent","2.4","2.5",0.0014
"Minnesota","4 wk ahead","Bin","percent","2.5","2.6",0.0016
"Minnesota","4 wk ahead","Bin","percent","2.6","2.7",5e-04
"Minnesota","4 wk ahead","Bin","percent","2.7","2.8",0.0014
"Minnesota","4 wk ahead","Bin","percent","2.8","2.9",0.0032
"Minnesota","4 wk ahead","Bin","percent","2.9","3.0",4e-04
"Minnesota","4 wk ahead","Bin","percent","3.0","3.1",0.0016
"Minnesota","4 wk ahead","Bin","percent","3.1","3.2",0.0011
"Minnesota","4 wk ahead","Bin","percent","3.2","3.3",4e-04
"Minnesota","4 wk ahead","Bin","percent","3.3","3.4",0.0015
"Minnesota","4 wk ahead","Bin","percent","3.4","3.5",8e-04
"Minnesota","4 wk ahead","Bin","percent","3.5","3.6",0.0011
"Minnesota","4 wk ahead","Bin","percent","3.6","3.7",7e-04
"Minnesota","4 wk ahead","Bin","percent","3.7","3.8",9e-04
"Minnesota","4 wk ahead","Bin","percent","3.8","3.9",0.0011
"Minnesota","4 wk ahead","Bin","percent","3.9","4.0",8e-04
"Minnesota","4 wk ahead","Bin","percent","4.0","4.1",0.0013
"Minnesota","4 wk ahead","Bin","percent","4.1","4.2",0.001
"Minnesota","4 wk ahead","Bin","percent","4.2","4.3",0.0011
"Minnesota","4 wk ahead","Bin","percent","4.3","4.4",0.0013
"Minnesota","4 wk ahead","Bin","percent","4.4","4.5",0.0014
"Minnesota","4 wk ahead","Bin","percent","4.5","4.6",8e-04
"Minnesota","4 wk ahead","Bin","percent","4.6","4.7",3e-04
"Minnesota","4 wk ahead","Bin","percent","4.7","4.8",0.001
"Minnesota","4 wk ahead","Bin","percent","4.8","4.9",6e-04
"Minnesota","4 wk ahead","Bin","percent","4.9","5.0",0.0012
"Minnesota","4 wk ahead","Bin","percent","5.0","5.1",7e-04
"Minnesota","4 wk ahead","Bin","percent","5.1","5.2",6e-04
"Minnesota","4 wk ahead","Bin","percent","5.2","5.3",9e-04
"Minnesota","4 wk ahead","Bin","percent","5.3","5.4",4e-04
"Minnesota","4 wk ahead","Bin","percent","5.4","5.5",0.0011
"Minnesota","4 wk ahead","Bin","percent","5.5","5.6",9e-04
"Minnesota","4 wk ahead","Bin","percent","5.6","5.7",0.0012
"Minnesota","4 wk ahead","Bin","percent","5.7","5.8",3e-04
"Minnesota","4 wk ahead","Bin","percent","5.8","5.9",6e-04
"Minnesota","4 wk ahead","Bin","percent","5.9","6.0",5e-04
"Minnesota","4 wk ahead","Bin","percent","6.0","6.1",7e-04
"Minnesota","4 wk ahead","Bin","percent","6.1","6.2",9e-04
"Minnesota","4 wk ahead","Bin","percent","6.2","6.3",9e-04
"Minnesota","4 wk ahead","Bin","percent","6.3","6.4",0
"Minnesota","4 wk ahead","Bin","percent","6.4","6.5",0.001
"Minnesota","4 wk ahead","Bin","percent","6.5","6.6",5e-04
"Minnesota","4 wk ahead","Bin","percent","6.6","6.7",3e-04
"Minnesota","4 wk ahead","Bin","percent","6.7","6.8",7e-04
"Minnesota","4 wk ahead","Bin","percent","6.8","6.9",0.0012
"Minnesota","4 wk ahead","Bin","percent","6.9","7.0",6e-04
"Minnesota","4 wk ahead","Bin","percent","7.0","7.1",9e-04
"Minnesota","4 wk ahead","Bin","percent","7.1","7.2",0.0011
"Minnesota","4 wk ahead","Bin","percent","7.2","7.3",0.001
"Minnesota","4 wk ahead","Bin","percent","7.3","7.4",0.0011
"Minnesota","4 wk ahead","Bin","percent","7.4","7.5",4e-04
"Minnesota","4 wk ahead","Bin","percent","7.5","7.6",0.001
"Minnesota","4 wk ahead","Bin","percent","7.6","7.7",0.001
"Minnesota","4 wk ahead","Bin","percent","7.7","7.8",0.001
"Minnesota","4 wk ahead","Bin","percent","7.8","7.9",0.001
"Minnesota","4 wk ahead","Bin","percent","7.9","8.0",0.001
"Minnesota","4 wk ahead","Bin","percent","8.0","8.1",5e-04
"Minnesota","4 wk ahead","Bin","percent","8.1","8.2",0.001
"Minnesota","4 wk ahead","Bin","percent","8.2","8.3",7e-04
"Minnesota","4 wk ahead","Bin","percent","8.3","8.4",6e-04
"Minnesota","4 wk ahead","Bin","percent","8.4","8.5",8e-04
"Minnesota","4 wk ahead","Bin","percent","8.5","8.6",8e-04
"Minnesota","4 wk ahead","Bin","percent","8.6","8.7",0.0012
"Minnesota","4 wk ahead","Bin","percent","8.7","8.8",8e-04
"Minnesota","4 wk ahead","Bin","percent","8.8","8.9",6e-04
"Minnesota","4 wk ahead","Bin","percent","8.9","9.0",8e-04
"Minnesota","4 wk ahead","Bin","percent","9.0","9.1",8e-04
"Minnesota","4 wk ahead","Bin","percent","9.1","9.2",6e-04
"Minnesota","4 wk ahead","Bin","percent","9.2","9.3",4e-04
"Minnesota","4 wk ahead","Bin","percent","9.3","9.4",6e-04
"Minnesota","4 wk ahead","Bin","percent","9.4","9.5",6e-04
"Minnesota","4 wk ahead","Bin","percent","9.5","9.6",6e-04
"Minnesota","4 wk ahead","Bin","percent","9.6","9.7",0.001
"Minnesota","4 wk ahead","Bin","percent","9.7","9.8",8e-04
"Minnesota","4 wk ahead","Bin","percent","9.8","9.9",0.0014
"Minnesota","4 wk ahead","Bin","percent","9.9","10.0",8e-04
"Minnesota","4 wk ahead","Bin","percent","10.0","10.1",4e-04
"Minnesota","4 wk ahead","Bin","percent","10.1","10.2",0.0011
"Minnesota","4 wk ahead","Bin","percent","10.2","10.3",7e-04
"Minnesota","4 wk ahead","Bin","percent","10.3","10.4",7e-04
"Minnesota","4 wk ahead","Bin","percent","10.4","10.5",0.0013
"Minnesota","4 wk ahead","Bin","percent","10.5","10.6",8e-04
"Minnesota","4 wk ahead","Bin","percent","10.6","10.7",6e-04
"Minnesota","4 wk ahead","Bin","percent","10.7","10.8",0.0011
"Minnesota","4 wk ahead","Bin","percent","10.8","10.9",0.0012
"Minnesota","4 wk ahead","Bin","percent","10.9","11.0",8e-04
"Minnesota","4 wk ahead","Bin","percent","11.0","11.1",5e-04
"Minnesota","4 wk ahead","Bin","percent","11.1","11.2",0.0013
"Minnesota","4 wk ahead","Bin","percent","11.2","11.3",9e-04
"Minnesota","4 wk ahead","Bin","percent","11.3","11.4",6e-04
"Minnesota","4 wk ahead","Bin","percent","11.4","11.5",3e-04
"Minnesota","4 wk ahead","Bin","percent","11.5","11.6",3e-04
"Minnesota","4 wk ahead","Bin","percent","11.6","11.7",0.001
"Minnesota","4 wk ahead","Bin","percent","11.7","11.8",0.0012
"Minnesota","4 wk ahead","Bin","percent","11.8","11.9",0.0013
"Minnesota","4 wk ahead","Bin","percent","11.9","12.0",4e-04
"Minnesota","4 wk ahead","Bin","percent","12.0","12.1",0.0011
"Minnesota","4 wk ahead","Bin","percent","12.1","12.2",7e-04
"Minnesota","4 wk ahead","Bin","percent","12.2","12.3",0.0013
"Minnesota","4 wk ahead","Bin","percent","12.3","12.4",0.0011
"Minnesota","4 wk ahead","Bin","percent","12.4","12.5",0.0011
"Minnesota","4 wk ahead","Bin","percent","12.5","12.6",0
"Minnesota","4 wk ahead","Bin","percent","12.6","12.7",0.0011
"Minnesota","4 wk ahead","Bin","percent","12.7","12.8",9e-04
"Minnesota","4 wk ahead","Bin","percent","12.8","12.9",0.001
"Minnesota","4 wk ahead","Bin","percent","12.9","13.0",0.001
"Minnesota","4 wk ahead","Bin","percent","13.0","100.0",0.0037
"Mississippi","1 wk ahead","Point","percent",NA,NA,2.4
"Mississippi","1 wk ahead","Bin","percent","0.0","0.1",0
"Mississippi","1 wk ahead","Bin","percent","0.1","0.2",7e-04
"Mississippi","1 wk ahead","Bin","percent","0.2","0.3",6e-04
"Mississippi","1 wk ahead","Bin","percent","0.3","0.4",9e-04
"Mississippi","1 wk ahead","Bin","percent","0.4","0.5",0.001
"Mississippi","1 wk ahead","Bin","percent","0.5","0.6",8e-04
"Mississippi","1 wk ahead","Bin","percent","0.6","0.7",7e-04
"Mississippi","1 wk ahead","Bin","percent","0.7","0.8",7e-04
"Mississippi","1 wk ahead","Bin","percent","0.8","0.9",0.0014
"Mississippi","1 wk ahead","Bin","percent","0.9","1.0",7e-04
"Mississippi","1 wk ahead","Bin","percent","1.0","1.1",8e-04
"Mississippi","1 wk ahead","Bin","percent","1.1","1.2",0.0011
"Mississippi","1 wk ahead","Bin","percent","1.2","1.3",8e-04
"Mississippi","1 wk ahead","Bin","percent","1.3","1.4",0.0011
"Mississippi","1 wk ahead","Bin","percent","1.4","1.5",8e-04
"Mississippi","1 wk ahead","Bin","percent","1.5","1.6",8e-04
"Mississippi","1 wk ahead","Bin","percent","1.6","1.7",0.011
"Mississippi","1 wk ahead","Bin","percent","1.7","1.8",9e-04
"Mississippi","1 wk ahead","Bin","percent","1.8","1.9",0.0455
"Mississippi","1 wk ahead","Bin","percent","1.9","2.0",0.0273
"Mississippi","1 wk ahead","Bin","percent","2.0","2.1",0.0446
"Mississippi","1 wk ahead","Bin","percent","2.1","2.2",0.0729
"Mississippi","1 wk ahead","Bin","percent","2.2","2.3",0.1289
"Mississippi","1 wk ahead","Bin","percent","2.3","2.4",0.0819
"Mississippi","1 wk ahead","Bin","percent","2.4","2.5",0.0837
"Mississippi","1 wk ahead","Bin","percent","2.5","2.6",0.1351
"Mississippi","1 wk ahead","Bin","percent","2.6","2.7",0.1285
"Mississippi","1 wk ahead","Bin","percent","2.7","2.8",0.0552
"Mississippi","1 wk ahead","Bin","percent","2.8","2.9",0.0363
"Mississippi","1 wk ahead","Bin","percent","2.9","3.0",0.0105
"Mississippi","1 wk ahead","Bin","percent","3.0","3.1",0.0281
"Mississippi","1 wk ahead","Bin","percent","3.1","3.2",0.0167
"Mississippi","1 wk ahead","Bin","percent","3.2","3.3",5e-04
"Mississippi","1 wk ahead","Bin","percent","3.3","3.4",6e-04
"Mississippi","1 wk ahead","Bin","percent","3.4","3.5",0.001
"Mississippi","1 wk ahead","Bin","percent","3.5","3.6",6e-04
"Mississippi","1 wk ahead","Bin","percent","3.6","3.7",7e-04
"Mississippi","1 wk ahead","Bin","percent","3.7","3.8",6e-04
"Mississippi","1 wk ahead","Bin","percent","3.8","3.9",0.0011
"Mississippi","1 wk ahead","Bin","percent","3.9","4.0",8e-04
"Mississippi","1 wk ahead","Bin","percent","4.0","4.1",8e-04
"Mississippi","1 wk ahead","Bin","percent","4.1","4.2",7e-04
"Mississippi","1 wk ahead","Bin","percent","4.2","4.3",3e-04
"Mississippi","1 wk ahead","Bin","percent","4.3","4.4",6e-04
"Mississippi","1 wk ahead","Bin","percent","4.4","4.5",7e-04
"Mississippi","1 wk ahead","Bin","percent","4.5","4.6",0.0012
"Mississippi","1 wk ahead","Bin","percent","4.6","4.7",0.001
"Mississippi","1 wk ahead","Bin","percent","4.7","4.8",9e-04
"Mississippi","1 wk ahead","Bin","percent","4.8","4.9",9e-04
"Mississippi","1 wk ahead","Bin","percent","4.9","5.0",0.0012
"Mississippi","1 wk ahead","Bin","percent","5.0","5.1",7e-04
"Mississippi","1 wk ahead","Bin","percent","5.1","5.2",9e-04
"Mississippi","1 wk ahead","Bin","percent","5.2","5.3",0.001
"Mississippi","1 wk ahead","Bin","percent","5.3","5.4",7e-04
"Mississippi","1 wk ahead","Bin","percent","5.4","5.5",4e-04
"Mississippi","1 wk ahead","Bin","percent","5.5","5.6",5e-04
"Mississippi","1 wk ahead","Bin","percent","5.6","5.7",9e-04
"Mississippi","1 wk ahead","Bin","percent","5.7","5.8",9e-04
"Mississippi","1 wk ahead","Bin","percent","5.8","5.9",9e-04
"Mississippi","1 wk ahead","Bin","percent","5.9","6.0",7e-04
"Mississippi","1 wk ahead","Bin","percent","6.0","6.1",6e-04
"Mississippi","1 wk ahead","Bin","percent","6.1","6.2",7e-04
"Mississippi","1 wk ahead","Bin","percent","6.2","6.3",0.0013
"Mississippi","1 wk ahead","Bin","percent","6.3","6.4",0
"Mississippi","1 wk ahead","Bin","percent","6.4","6.5",9e-04
"Mississippi","1 wk ahead","Bin","percent","6.5","6.6",9e-04
"Mississippi","1 wk ahead","Bin","percent","6.6","6.7",0.0012
"Mississippi","1 wk ahead","Bin","percent","6.7","6.8",0.0012
"Mississippi","1 wk ahead","Bin","percent","6.8","6.9",2e-04
"Mississippi","1 wk ahead","Bin","percent","6.9","7.0",0.0011
"Mississippi","1 wk ahead","Bin","percent","7.0","7.1",9e-04
"Mississippi","1 wk ahead","Bin","percent","7.1","7.2",9e-04
"Mississippi","1 wk ahead","Bin","percent","7.2","7.3",8e-04
"Mississippi","1 wk ahead","Bin","percent","7.3","7.4",0.001
"Mississippi","1 wk ahead","Bin","percent","7.4","7.5",7e-04
"Mississippi","1 wk ahead","Bin","percent","7.5","7.6",0.001
"Mississippi","1 wk ahead","Bin","percent","7.6","7.7",4e-04
"Mississippi","1 wk ahead","Bin","percent","7.7","7.8",4e-04
"Mississippi","1 wk ahead","Bin","percent","7.8","7.9",0.001
"Mississippi","1 wk ahead","Bin","percent","7.9","8.0",3e-04
"Mississippi","1 wk ahead","Bin","percent","8.0","8.1",8e-04
"Mississippi","1 wk ahead","Bin","percent","8.1","8.2",9e-04
"Mississippi","1 wk ahead","Bin","percent","8.2","8.3",0.001
"Mississippi","1 wk ahead","Bin","percent","8.3","8.4",7e-04
"Mississippi","1 wk ahead","Bin","percent","8.4","8.5",5e-04
"Mississippi","1 wk ahead","Bin","percent","8.5","8.6",3e-04
"Mississippi","1 wk ahead","Bin","percent","8.6","8.7",9e-04
"Mississippi","1 wk ahead","Bin","percent","8.7","8.8",7e-04
"Mississippi","1 wk ahead","Bin","percent","8.8","8.9",7e-04
"Mississippi","1 wk ahead","Bin","percent","8.9","9.0",3e-04
"Mississippi","1 wk ahead","Bin","percent","9.0","9.1",0.001
"Mississippi","1 wk ahead","Bin","percent","9.1","9.2",9e-04
"Mississippi","1 wk ahead","Bin","percent","9.2","9.3",4e-04
"Mississippi","1 wk ahead","Bin","percent","9.3","9.4",0.001
"Mississippi","1 wk ahead","Bin","percent","9.4","9.5",0.0013
"Mississippi","1 wk ahead","Bin","percent","9.5","9.6",8e-04
"Mississippi","1 wk ahead","Bin","percent","9.6","9.7",0.001
"Mississippi","1 wk ahead","Bin","percent","9.7","9.8",0.0011
"Mississippi","1 wk ahead","Bin","percent","9.8","9.9",9e-04
"Mississippi","1 wk ahead","Bin","percent","9.9","10.0",6e-04
"Mississippi","1 wk ahead","Bin","percent","10.0","10.1",7e-04
"Mississippi","1 wk ahead","Bin","percent","10.1","10.2",8e-04
"Mississippi","1 wk ahead","Bin","percent","10.2","10.3",0.0012
"Mississippi","1 wk ahead","Bin","percent","10.3","10.4",8e-04
"Mississippi","1 wk ahead","Bin","percent","10.4","10.5",9e-04
"Mississippi","1 wk ahead","Bin","percent","10.5","10.6",0.0011
"Mississippi","1 wk ahead","Bin","percent","10.6","10.7",0.001
"Mississippi","1 wk ahead","Bin","percent","10.7","10.8",5e-04
"Mississippi","1 wk ahead","Bin","percent","10.8","10.9",5e-04
"Mississippi","1 wk ahead","Bin","percent","10.9","11.0",0.001
"Mississippi","1 wk ahead","Bin","percent","11.0","11.1",0.001
"Mississippi","1 wk ahead","Bin","percent","11.1","11.2",2e-04
"Mississippi","1 wk ahead","Bin","percent","11.2","11.3",4e-04
"Mississippi","1 wk ahead","Bin","percent","11.3","11.4",0.0012
"Mississippi","1 wk ahead","Bin","percent","11.4","11.5",8e-04
"Mississippi","1 wk ahead","Bin","percent","11.5","11.6",7e-04
"Mississippi","1 wk ahead","Bin","percent","11.6","11.7",6e-04
"Mississippi","1 wk ahead","Bin","percent","11.7","11.8",6e-04
"Mississippi","1 wk ahead","Bin","percent","11.8","11.9",0.0011
"Mississippi","1 wk ahead","Bin","percent","11.9","12.0",7e-04
"Mississippi","1 wk ahead","Bin","percent","12.0","12.1",8e-04
"Mississippi","1 wk ahead","Bin","percent","12.1","12.2",0.0011
"Mississippi","1 wk ahead","Bin","percent","12.2","12.3",7e-04
"Mississippi","1 wk ahead","Bin","percent","12.3","12.4",0.001
"Mississippi","1 wk ahead","Bin","percent","12.4","12.5",6e-04
"Mississippi","1 wk ahead","Bin","percent","12.5","12.6",0
"Mississippi","1 wk ahead","Bin","percent","12.6","12.7",7e-04
"Mississippi","1 wk ahead","Bin","percent","12.7","12.8",8e-04
"Mississippi","1 wk ahead","Bin","percent","12.8","12.9",0.001
"Mississippi","1 wk ahead","Bin","percent","12.9","13.0",0.0013
"Mississippi","1 wk ahead","Bin","percent","13.0","100.0",0.0031
"Mississippi","2 wk ahead","Point","percent",NA,NA,2.3
"Mississippi","2 wk ahead","Bin","percent","0.0","0.1",0
"Mississippi","2 wk ahead","Bin","percent","0.1","0.2",4e-04
"Mississippi","2 wk ahead","Bin","percent","0.2","0.3",5e-04
"Mississippi","2 wk ahead","Bin","percent","0.3","0.4",9e-04
"Mississippi","2 wk ahead","Bin","percent","0.4","0.5",0.001
"Mississippi","2 wk ahead","Bin","percent","0.5","0.6",6e-04
"Mississippi","2 wk ahead","Bin","percent","0.6","0.7",9e-04
"Mississippi","2 wk ahead","Bin","percent","0.7","0.8",7e-04
"Mississippi","2 wk ahead","Bin","percent","0.8","0.9",8e-04
"Mississippi","2 wk ahead","Bin","percent","0.9","1.0",0.0011
"Mississippi","2 wk ahead","Bin","percent","1.0","1.1",0.001
"Mississippi","2 wk ahead","Bin","percent","1.1","1.2",7e-04
"Mississippi","2 wk ahead","Bin","percent","1.2","1.3",0.001
"Mississippi","2 wk ahead","Bin","percent","1.3","1.4",0.001
"Mississippi","2 wk ahead","Bin","percent","1.4","1.5",0.0019
"Mississippi","2 wk ahead","Bin","percent","1.5","1.6",6e-04
"Mississippi","2 wk ahead","Bin","percent","1.6","1.7",0.0045
"Mississippi","2 wk ahead","Bin","percent","1.7","1.8",0.0128
"Mississippi","2 wk ahead","Bin","percent","1.8","1.9",0.0264
"Mississippi","2 wk ahead","Bin","percent","1.9","2.0",0.0459
"Mississippi","2 wk ahead","Bin","percent","2.0","2.1",0.0751
"Mississippi","2 wk ahead","Bin","percent","2.1","2.2",0.107
"Mississippi","2 wk ahead","Bin","percent","2.2","2.3",0.1274
"Mississippi","2 wk ahead","Bin","percent","2.3","2.4",0.1044
"Mississippi","2 wk ahead","Bin","percent","2.4","2.5",0.1247
"Mississippi","2 wk ahead","Bin","percent","2.5","2.6",0.0923
"Mississippi","2 wk ahead","Bin","percent","2.6","2.7",0.0465
"Mississippi","2 wk ahead","Bin","percent","2.7","2.8",0.0552
"Mississippi","2 wk ahead","Bin","percent","2.8","2.9",0.0343
"Mississippi","2 wk ahead","Bin","percent","2.9","3.0",0.0223
"Mississippi","2 wk ahead","Bin","percent","3.0","3.1",0.0143
"Mississippi","2 wk ahead","Bin","percent","3.1","3.2",0.0086
"Mississippi","2 wk ahead","Bin","percent","3.2","3.3",0.0027
"Mississippi","2 wk ahead","Bin","percent","3.3","3.4",0.0033
"Mississippi","2 wk ahead","Bin","percent","3.4","3.5",9e-04
"Mississippi","2 wk ahead","Bin","percent","3.5","3.6",7e-04
"Mississippi","2 wk ahead","Bin","percent","3.6","3.7",7e-04
"Mississippi","2 wk ahead","Bin","percent","3.7","3.8",6e-04
"Mississippi","2 wk ahead","Bin","percent","3.8","3.9",0.001
"Mississippi","2 wk ahead","Bin","percent","3.9","4.0",3e-04
"Mississippi","2 wk ahead","Bin","percent","4.0","4.1",0.001
"Mississippi","2 wk ahead","Bin","percent","4.1","4.2",9e-04
"Mississippi","2 wk ahead","Bin","percent","4.2","4.3",0.0011
"Mississippi","2 wk ahead","Bin","percent","4.3","4.4",1e-04
"Mississippi","2 wk ahead","Bin","percent","4.4","4.5",8e-04
"Mississippi","2 wk ahead","Bin","percent","4.5","4.6",7e-04
"Mississippi","2 wk ahead","Bin","percent","4.6","4.7",0.001
"Mississippi","2 wk ahead","Bin","percent","4.7","4.8",5e-04
"Mississippi","2 wk ahead","Bin","percent","4.8","4.9",7e-04
"Mississippi","2 wk ahead","Bin","percent","4.9","5.0",5e-04
"Mississippi","2 wk ahead","Bin","percent","5.0","5.1",7e-04
"Mississippi","2 wk ahead","Bin","percent","5.1","5.2",9e-04
"Mississippi","2 wk ahead","Bin","percent","5.2","5.3",3e-04
"Mississippi","2 wk ahead","Bin","percent","5.3","5.4",0.0012
"Mississippi","2 wk ahead","Bin","percent","5.4","5.5",4e-04
"Mississippi","2 wk ahead","Bin","percent","5.5","5.6",6e-04
"Mississippi","2 wk ahead","Bin","percent","5.6","5.7",7e-04
"Mississippi","2 wk ahead","Bin","percent","5.7","5.8",7e-04
"Mississippi","2 wk ahead","Bin","percent","5.8","5.9",8e-04
"Mississippi","2 wk ahead","Bin","percent","5.9","6.0",5e-04
"Mississippi","2 wk ahead","Bin","percent","6.0","6.1",0.0014
"Mississippi","2 wk ahead","Bin","percent","6.1","6.2",0.001
"Mississippi","2 wk ahead","Bin","percent","6.2","6.3",0.0011
"Mississippi","2 wk ahead","Bin","percent","6.3","6.4",0
"Mississippi","2 wk ahead","Bin","percent","6.4","6.5",8e-04
"Mississippi","2 wk ahead","Bin","percent","6.5","6.6",9e-04
"Mississippi","2 wk ahead","Bin","percent","6.6","6.7",0.0011
"Mississippi","2 wk ahead","Bin","percent","6.7","6.8",8e-04
"Mississippi","2 wk ahead","Bin","percent","6.8","6.9",7e-04
"Mississippi","2 wk ahead","Bin","percent","6.9","7.0",7e-04
"Mississippi","2 wk ahead","Bin","percent","7.0","7.1",9e-04
"Mississippi","2 wk ahead","Bin","percent","7.1","7.2",5e-04
"Mississippi","2 wk ahead","Bin","percent","7.2","7.3",7e-04
"Mississippi","2 wk ahead","Bin","percent","7.3","7.4",0.0011
"Mississippi","2 wk ahead","Bin","percent","7.4","7.5",0.0011
"Mississippi","2 wk ahead","Bin","percent","7.5","7.6",4e-04
"Mississippi","2 wk ahead","Bin","percent","7.6","7.7",7e-04
"Mississippi","2 wk ahead","Bin","percent","7.7","7.8",0.0012
"Mississippi","2 wk ahead","Bin","percent","7.8","7.9",9e-04
"Mississippi","2 wk ahead","Bin","percent","7.9","8.0",5e-04
"Mississippi","2 wk ahead","Bin","percent","8.0","8.1",5e-04
"Mississippi","2 wk ahead","Bin","percent","8.1","8.2",9e-04
"Mississippi","2 wk ahead","Bin","percent","8.2","8.3",5e-04
"Mississippi","2 wk ahead","Bin","percent","8.3","8.4",8e-04
"Mississippi","2 wk ahead","Bin","percent","8.4","8.5",0.0011
"Mississippi","2 wk ahead","Bin","percent","8.5","8.6",4e-04
"Mississippi","2 wk ahead","Bin","percent","8.6","8.7",0.0016
"Mississippi","2 wk ahead","Bin","percent","8.7","8.8",7e-04
"Mississippi","2 wk ahead","Bin","percent","8.8","8.9",8e-04
"Mississippi","2 wk ahead","Bin","percent","8.9","9.0",0.001
