"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","3 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 1","3 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 1","3 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 1","3 wk ahead","Bin","percent","12.9","13.0",1e-04
"HHS Region 1","3 wk ahead","Bin","percent","13.0","100.0",1e-04
"HHS Region 1","4 wk ahead","Point","percent",NA,NA,3.1
"HHS Region 1","4 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","4 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","4 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","4 wk ahead","Bin","percent","0.3","0.4",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","0.4","0.5",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","0.5","0.6",3e-04
"HHS Region 1","4 wk ahead","Bin","percent","0.6","0.7",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","0.7","0.8",0.0013
"HHS Region 1","4 wk ahead","Bin","percent","0.8","0.9",0.0014
"HHS Region 1","4 wk ahead","Bin","percent","0.9","1.0",0.0017
"HHS Region 1","4 wk ahead","Bin","percent","1.0","1.1",0.0031
"HHS Region 1","4 wk ahead","Bin","percent","1.1","1.2",0.003
"HHS Region 1","4 wk ahead","Bin","percent","1.2","1.3",0.0034
"HHS Region 1","4 wk ahead","Bin","percent","1.3","1.4",0.0063
"HHS Region 1","4 wk ahead","Bin","percent","1.4","1.5",0.0075
"HHS Region 1","4 wk ahead","Bin","percent","1.5","1.6",0.008
"HHS Region 1","4 wk ahead","Bin","percent","1.6","1.7",0.012
"HHS Region 1","4 wk ahead","Bin","percent","1.7","1.8",0.013
"HHS Region 1","4 wk ahead","Bin","percent","1.8","1.9",0.0187
"HHS Region 1","4 wk ahead","Bin","percent","1.9","2.0",0.0253
"HHS Region 1","4 wk ahead","Bin","percent","2.0","2.1",0.0244
"HHS Region 1","4 wk ahead","Bin","percent","2.1","2.2",0.0277
"HHS Region 1","4 wk ahead","Bin","percent","2.2","2.3",0.0287
"HHS Region 1","4 wk ahead","Bin","percent","2.3","2.4",0.0266
"HHS Region 1","4 wk ahead","Bin","percent","2.4","2.5",0.0316
"HHS Region 1","4 wk ahead","Bin","percent","2.5","2.6",0.0343
"HHS Region 1","4 wk ahead","Bin","percent","2.6","2.7",0.0398
"HHS Region 1","4 wk ahead","Bin","percent","2.7","2.8",0.0395
"HHS Region 1","4 wk ahead","Bin","percent","2.8","2.9",0.0403
"HHS Region 1","4 wk ahead","Bin","percent","2.9","3.0",0.0427
"HHS Region 1","4 wk ahead","Bin","percent","3.0","3.1",0.0421
"HHS Region 1","4 wk ahead","Bin","percent","3.1","3.2",0.0395
"HHS Region 1","4 wk ahead","Bin","percent","3.2","3.3",0.0444
"HHS Region 1","4 wk ahead","Bin","percent","3.3","3.4",0.0395
"HHS Region 1","4 wk ahead","Bin","percent","3.4","3.5",0.0413
"HHS Region 1","4 wk ahead","Bin","percent","3.5","3.6",0.0347
"HHS Region 1","4 wk ahead","Bin","percent","3.6","3.7",0.0342
"HHS Region 1","4 wk ahead","Bin","percent","3.7","3.8",0.0327
"HHS Region 1","4 wk ahead","Bin","percent","3.8","3.9",0.0295
"HHS Region 1","4 wk ahead","Bin","percent","3.9","4.0",0.027
"HHS Region 1","4 wk ahead","Bin","percent","4.0","4.1",0.0203
"HHS Region 1","4 wk ahead","Bin","percent","4.1","4.2",0.0168
"HHS Region 1","4 wk ahead","Bin","percent","4.2","4.3",0.0191
"HHS Region 1","4 wk ahead","Bin","percent","4.3","4.4",0.0161
"HHS Region 1","4 wk ahead","Bin","percent","4.4","4.5",0.0153
"HHS Region 1","4 wk ahead","Bin","percent","4.5","4.6",0.0102
"HHS Region 1","4 wk ahead","Bin","percent","4.6","4.7",0.0104
"HHS Region 1","4 wk ahead","Bin","percent","4.7","4.8",0.0083
"HHS Region 1","4 wk ahead","Bin","percent","4.8","4.9",0.0076
"HHS Region 1","4 wk ahead","Bin","percent","4.9","5.0",0.0069
"HHS Region 1","4 wk ahead","Bin","percent","5.0","5.1",0.0057
"HHS Region 1","4 wk ahead","Bin","percent","5.1","5.2",0.0058
"HHS Region 1","4 wk ahead","Bin","percent","5.2","5.3",0.0068
"HHS Region 1","4 wk ahead","Bin","percent","5.3","5.4",0.0044
"HHS Region 1","4 wk ahead","Bin","percent","5.4","5.5",0.0037
"HHS Region 1","4 wk ahead","Bin","percent","5.5","5.6",0.0031
"HHS Region 1","4 wk ahead","Bin","percent","5.6","5.7",0.003
"HHS Region 1","4 wk ahead","Bin","percent","5.7","5.8",0.0029
"HHS Region 1","4 wk ahead","Bin","percent","5.8","5.9",0.0024
"HHS Region 1","4 wk ahead","Bin","percent","5.9","6.0",0.0022
"HHS Region 1","4 wk ahead","Bin","percent","6.0","6.1",0.0013
"HHS Region 1","4 wk ahead","Bin","percent","6.1","6.2",0.002
"HHS Region 1","4 wk ahead","Bin","percent","6.2","6.3",7e-04
"HHS Region 1","4 wk ahead","Bin","percent","6.3","6.4",0.0022
"HHS Region 1","4 wk ahead","Bin","percent","6.4","6.5",0.001
"HHS Region 1","4 wk ahead","Bin","percent","6.5","6.6",0.0011
"HHS Region 1","4 wk ahead","Bin","percent","6.6","6.7",9e-04
"HHS Region 1","4 wk ahead","Bin","percent","6.7","6.8",0.001
"HHS Region 1","4 wk ahead","Bin","percent","6.8","6.9",0.0021
"HHS Region 1","4 wk ahead","Bin","percent","6.9","7.0",7e-04
"HHS Region 1","4 wk ahead","Bin","percent","7.0","7.1",8e-04
"HHS Region 1","4 wk ahead","Bin","percent","7.1","7.2",3e-04
"HHS Region 1","4 wk ahead","Bin","percent","7.2","7.3",6e-04
"HHS Region 1","4 wk ahead","Bin","percent","7.3","7.4",2e-04
"HHS Region 1","4 wk ahead","Bin","percent","7.4","7.5",2e-04
"HHS Region 1","4 wk ahead","Bin","percent","7.5","7.6",2e-04
"HHS Region 1","4 wk ahead","Bin","percent","7.6","7.7",4e-04
"HHS Region 1","4 wk ahead","Bin","percent","7.7","7.8",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","7.8","7.9",2e-04
"HHS Region 1","4 wk ahead","Bin","percent","7.9","8.0",0
"HHS Region 1","4 wk ahead","Bin","percent","8.0","8.1",0.001
"HHS Region 1","4 wk ahead","Bin","percent","8.1","8.2",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","8.2","8.3",5e-04
"HHS Region 1","4 wk ahead","Bin","percent","8.3","8.4",5e-04
"HHS Region 1","4 wk ahead","Bin","percent","8.4","8.5",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","8.5","8.6",3e-04
"HHS Region 1","4 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 1","4 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 1","4 wk ahead","Bin","percent","8.8","8.9",2e-04
"HHS Region 1","4 wk ahead","Bin","percent","8.9","9.0",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","9.0","9.1",8e-04
"HHS Region 1","4 wk ahead","Bin","percent","9.1","9.2",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","9.2","9.3",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 1","4 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 1","4 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 1","4 wk ahead","Bin","percent","9.6","9.7",2e-04
"HHS Region 1","4 wk ahead","Bin","percent","9.7","9.8",2e-04
"HHS Region 1","4 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 1","4 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 1","4 wk ahead","Bin","percent","10.0","10.1",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 1","4 wk ahead","Bin","percent","10.2","10.3",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","10.3","10.4",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 1","4 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 1","4 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 1","4 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 1","4 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 1","4 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 1","4 wk ahead","Bin","percent","11.0","11.1",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 1","4 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 1","4 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 1","4 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 1","4 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 1","4 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 1","4 wk ahead","Bin","percent","11.7","11.8",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 1","4 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 1","4 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 1","4 wk ahead","Bin","percent","12.1","12.2",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","12.2","12.3",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 1","4 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 1","4 wk ahead","Bin","percent","12.5","12.6",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 1","4 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 1","4 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 1","4 wk ahead","Bin","percent","12.9","13.0",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","13.0","100.0",0.0021
"HHS Region 10","1 wk ahead","Point","percent",NA,NA,1.2
"HHS Region 10","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 10","1 wk ahead","Bin","percent","0.1","0.2",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","0.2","0.3",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","0.3","0.4",3e-04
"HHS Region 10","1 wk ahead","Bin","percent","0.4","0.5",2e-04
"HHS Region 10","1 wk ahead","Bin","percent","0.5","0.6",0.0025
"HHS Region 10","1 wk ahead","Bin","percent","0.6","0.7",0.006
"HHS Region 10","1 wk ahead","Bin","percent","0.7","0.8",0.0153
"HHS Region 10","1 wk ahead","Bin","percent","0.8","0.9",0.0396
"HHS Region 10","1 wk ahead","Bin","percent","0.9","1.0",0.0668
"HHS Region 10","1 wk ahead","Bin","percent","1.0","1.1",0.1025
"HHS Region 10","1 wk ahead","Bin","percent","1.1","1.2",0.1302
"HHS Region 10","1 wk ahead","Bin","percent","1.2","1.3",0.1366
"HHS Region 10","1 wk ahead","Bin","percent","1.3","1.4",0.1223
"HHS Region 10","1 wk ahead","Bin","percent","1.4","1.5",0.1077
"HHS Region 10","1 wk ahead","Bin","percent","1.5","1.6",0.0719
"HHS Region 10","1 wk ahead","Bin","percent","1.6","1.7",0.058
"HHS Region 10","1 wk ahead","Bin","percent","1.7","1.8",0.0405
"HHS Region 10","1 wk ahead","Bin","percent","1.8","1.9",0.0307
"HHS Region 10","1 wk ahead","Bin","percent","1.9","2.0",0.0244
"HHS Region 10","1 wk ahead","Bin","percent","2.0","2.1",0.015
"HHS Region 10","1 wk ahead","Bin","percent","2.1","2.2",0.0102
"HHS Region 10","1 wk ahead","Bin","percent","2.2","2.3",0.0063
"HHS Region 10","1 wk ahead","Bin","percent","2.3","2.4",0.003
"HHS Region 10","1 wk ahead","Bin","percent","2.4","2.5",0.0015
"HHS Region 10","1 wk ahead","Bin","percent","2.5","2.6",0.001
"HHS Region 10","1 wk ahead","Bin","percent","2.6","2.7",8e-04
"HHS Region 10","1 wk ahead","Bin","percent","2.7","2.8",9e-04
"HHS Region 10","1 wk ahead","Bin","percent","2.8","2.9",6e-04
"HHS Region 10","1 wk ahead","Bin","percent","2.9","3.0",2e-04
"HHS Region 10","1 wk ahead","Bin","percent","3.0","3.1",8e-04
"HHS Region 10","1 wk ahead","Bin","percent","3.1","3.2",2e-04
"HHS Region 10","1 wk ahead","Bin","percent","3.2","3.3",2e-04
"HHS Region 10","1 wk ahead","Bin","percent","3.3","3.4",4e-04
"HHS Region 10","1 wk ahead","Bin","percent","3.4","3.5",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","3.5","3.6",0
"HHS Region 10","1 wk ahead","Bin","percent","3.6","3.7",0
"HHS Region 10","1 wk ahead","Bin","percent","3.7","3.8",0
"HHS Region 10","1 wk ahead","Bin","percent","3.8","3.9",0
"HHS Region 10","1 wk ahead","Bin","percent","3.9","4.0",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","4.0","4.1",0
"HHS Region 10","1 wk ahead","Bin","percent","4.1","4.2",0
"HHS Region 10","1 wk ahead","Bin","percent","4.2","4.3",2e-04
"HHS Region 10","1 wk ahead","Bin","percent","4.3","4.4",0
"HHS Region 10","1 wk ahead","Bin","percent","4.4","4.5",0
"HHS Region 10","1 wk ahead","Bin","percent","4.5","4.6",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","4.6","4.7",0
"HHS Region 10","1 wk ahead","Bin","percent","4.7","4.8",0
"HHS Region 10","1 wk ahead","Bin","percent","4.8","4.9",0
"HHS Region 10","1 wk ahead","Bin","percent","4.9","5.0",0
"HHS Region 10","1 wk ahead","Bin","percent","5.0","5.1",0
"HHS Region 10","1 wk ahead","Bin","percent","5.1","5.2",0
"HHS Region 10","1 wk ahead","Bin","percent","5.2","5.3",0
"HHS Region 10","1 wk ahead","Bin","percent","5.3","5.4",0
"HHS Region 10","1 wk ahead","Bin","percent","5.4","5.5",0
"HHS Region 10","1 wk ahead","Bin","percent","5.5","5.6",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","5.6","5.7",0
"HHS Region 10","1 wk ahead","Bin","percent","5.7","5.8",0
"HHS Region 10","1 wk ahead","Bin","percent","5.8","5.9",0
"HHS Region 10","1 wk ahead","Bin","percent","5.9","6.0",0
"HHS Region 10","1 wk ahead","Bin","percent","6.0","6.1",0
"HHS Region 10","1 wk ahead","Bin","percent","6.1","6.2",0
"HHS Region 10","1 wk ahead","Bin","percent","6.2","6.3",0
"HHS Region 10","1 wk ahead","Bin","percent","6.3","6.4",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","6.4","6.5",0
"HHS Region 10","1 wk ahead","Bin","percent","6.5","6.6",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","6.6","6.7",0
"HHS Region 10","1 wk ahead","Bin","percent","6.7","6.8",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","6.8","6.9",0
"HHS Region 10","1 wk ahead","Bin","percent","6.9","7.0",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","7.0","7.1",0
"HHS Region 10","1 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 10","1 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 10","1 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 10","1 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 10","1 wk ahead","Bin","percent","7.5","7.6",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 10","1 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 10","1 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 10","1 wk ahead","Bin","percent","7.9","8.0",0
"HHS Region 10","1 wk ahead","Bin","percent","8.0","8.1",0
"HHS Region 10","1 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 10","1 wk ahead","Bin","percent","8.2","8.3",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 10","1 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 10","1 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 10","1 wk ahead","Bin","percent","8.6","8.7",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","8.7","8.8",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","8.8","8.9",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 10","1 wk ahead","Bin","percent","9.0","9.1",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","9.1","9.2",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 10","1 wk ahead","Bin","percent","9.3","9.4",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","9.4","9.5",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 10","1 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 10","1 wk ahead","Bin","percent","9.7","9.8",3e-04
"HHS Region 10","1 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 10","1 wk ahead","Bin","percent","9.9","10.0",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 10","1 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 10","1 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 10","1 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 10","1 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 10","1 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 10","1 wk ahead","Bin","percent","10.6","10.7",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 10","1 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 10","1 wk ahead","Bin","percent","10.9","11.0",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","11.0","11.1",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 10","1 wk ahead","Bin","percent","11.2","11.3",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","11.3","11.4",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 10","1 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 10","1 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 10","1 wk ahead","Bin","percent","11.7","11.8",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 10","1 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 10","1 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 10","1 wk ahead","Bin","percent","12.1","12.2",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 10","1 wk ahead","Bin","percent","12.3","12.4",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 10","1 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 10","1 wk ahead","Bin","percent","12.6","12.7",1e-04
"HHS Region 10","1 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 10","1 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 10","1 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 10","1 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 10","2 wk ahead","Point","percent",NA,NA,1.5
"HHS Region 10","2 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 10","2 wk ahead","Bin","percent","0.1","0.2",2e-04
"HHS Region 10","2 wk ahead","Bin","percent","0.2","0.3",5e-04
"HHS Region 10","2 wk ahead","Bin","percent","0.3","0.4",0.0012
"HHS Region 10","2 wk ahead","Bin","percent","0.4","0.5",0.0036
"HHS Region 10","2 wk ahead","Bin","percent","0.5","0.6",0.007
"HHS Region 10","2 wk ahead","Bin","percent","0.6","0.7",0.0115
"HHS Region 10","2 wk ahead","Bin","percent","0.7","0.8",0.0214
"HHS Region 10","2 wk ahead","Bin","percent","0.8","0.9",0.0368
"HHS Region 10","2 wk ahead","Bin","percent","0.9","1.0",0.048
"HHS Region 10","2 wk ahead","Bin","percent","1.0","1.1",0.0533
"HHS Region 10","2 wk ahead","Bin","percent","1.1","1.2",0.0618
"HHS Region 10","2 wk ahead","Bin","percent","1.2","1.3",0.0679
"HHS Region 10","2 wk ahead","Bin","percent","1.3","1.4",0.0701
"HHS Region 10","2 wk ahead","Bin","percent","1.4","1.5",0.0629
"HHS Region 10","2 wk ahead","Bin","percent","1.5","1.6",0.0576
"HHS Region 10","2 wk ahead","Bin","percent","1.6","1.7",0.068
"HHS Region 10","2 wk ahead","Bin","percent","1.7","1.8",0.0604
"HHS Region 10","2 wk ahead","Bin","percent","1.8","1.9",0.0593
"HHS Region 10","2 wk ahead","Bin","percent","1.9","2.0",0.0521
"HHS Region 10","2 wk ahead","Bin","percent","2.0","2.1",0.0458
"HHS Region 10","2 wk ahead","Bin","percent","2.1","2.2",0.0437
"HHS Region 10","2 wk ahead","Bin","percent","2.2","2.3",0.0314
"HHS Region 10","2 wk ahead","Bin","percent","2.3","2.4",0.0279
"HHS Region 10","2 wk ahead","Bin","percent","2.4","2.5",0.0224
"HHS Region 10","2 wk ahead","Bin","percent","2.5","2.6",0.0209
"HHS Region 10","2 wk ahead","Bin","percent","2.6","2.7",0.015
"HHS Region 10","2 wk ahead","Bin","percent","2.7","2.8",0.0129
"HHS Region 10","2 wk ahead","Bin","percent","2.8","2.9",0.0092
"HHS Region 10","2 wk ahead","Bin","percent","2.9","3.0",0.0047
"HHS Region 10","2 wk ahead","Bin","percent","3.0","3.1",0.0054
"HHS Region 10","2 wk ahead","Bin","percent","3.1","3.2",0.004
"HHS Region 10","2 wk ahead","Bin","percent","3.2","3.3",0.0019
"HHS Region 10","2 wk ahead","Bin","percent","3.3","3.4",0.002
"HHS Region 10","2 wk ahead","Bin","percent","3.4","3.5",0.0017
"HHS Region 10","2 wk ahead","Bin","percent","3.5","3.6",0.0011
"HHS Region 10","2 wk ahead","Bin","percent","3.6","3.7",7e-04
"HHS Region 10","2 wk ahead","Bin","percent","3.7","3.8",6e-04
"HHS Region 10","2 wk ahead","Bin","percent","3.8","3.9",8e-04
"HHS Region 10","2 wk ahead","Bin","percent","3.9","4.0",7e-04
"HHS Region 10","2 wk ahead","Bin","percent","4.0","4.1",6e-04
"HHS Region 10","2 wk ahead","Bin","percent","4.1","4.2",2e-04
"HHS Region 10","2 wk ahead","Bin","percent","4.2","4.3",3e-04
"HHS Region 10","2 wk ahead","Bin","percent","4.3","4.4",3e-04
"HHS Region 10","2 wk ahead","Bin","percent","4.4","4.5",0
"HHS Region 10","2 wk ahead","Bin","percent","4.5","4.6",2e-04
"HHS Region 10","2 wk ahead","Bin","percent","4.6","4.7",0
"HHS Region 10","2 wk ahead","Bin","percent","4.7","4.8",0
"HHS Region 10","2 wk ahead","Bin","percent","4.8","4.9",2e-04
"HHS Region 10","2 wk ahead","Bin","percent","4.9","5.0",0
"HHS Region 10","2 wk ahead","Bin","percent","5.0","5.1",1e-04
"HHS Region 10","2 wk ahead","Bin","percent","5.1","5.2",1e-04
"HHS Region 10","2 wk ahead","Bin","percent","5.2","5.3",0
"HHS Region 10","2 wk ahead","Bin","percent","5.3","5.4",0
"HHS Region 10","2 wk ahead","Bin","percent","5.4","5.5",1e-04
"HHS Region 10","2 wk ahead","Bin","percent","5.5","5.6",0
"HHS Region 10","2 wk ahead","Bin","percent","5.6","5.7",0
"HHS Region 10","2 wk ahead","Bin","percent","5.7","5.8",1e-04
"HHS Region 10","2 wk ahead","Bin","percent","5.8","5.9",0
"HHS Region 10","2 wk ahead","Bin","percent","5.9","6.0",0
"HHS Region 10","2 wk ahead","Bin","percent","6.0","6.1",1e-04
"HHS Region 10","2 wk ahead","Bin","percent","6.1","6.2",0
"HHS Region 10","2 wk ahead","Bin","percent","6.2","6.3",1e-04
"HHS Region 10","2 wk ahead","Bin","percent","6.3","6.4",0
"HHS Region 10","2 wk ahead","Bin","percent","6.4","6.5",0
"HHS Region 10","2 wk ahead","Bin","percent","6.5","6.6",0
"HHS Region 10","2 wk ahead","Bin","percent","6.6","6.7",0
"HHS Region 10","2 wk ahead","Bin","percent","6.7","6.8",0
"HHS Region 10","2 wk ahead","Bin","percent","6.8","6.9",1e-04
"HHS Region 10","2 wk ahead","Bin","percent","6.9","7.0",0
"HHS Region 10","2 wk ahead","Bin","percent","7.0","7.1",0
"HHS Region 10","2 wk ahead","Bin","percent","7.1","7.2",0
